iter	Passed	Remaining
0	0	57
1	1	50
2	1	48
3	1	47
4	2	45
5	2	44
6	3	44
7	3	43
8	4	43
9	4	42
10	5	42
11	5	41
12	6	41
13	6	40
14	7	40
15	7	39
16	8	39
17	8	38
18	8	38
19	9	37
20	9	36
21	10	36
22	10	36
23	11	35
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	32
30	14	32
31	15	31
32	15	31
33	16	31
34	16	30
35	17	30
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	25	23
52	25	22
53	25	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	14
69	33	14
70	34	14
71	34	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	45	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
